-0.4099622, 1.379, 6.990816 ,1,1
-0.4099622, 1.379, 7.418816 ,1,1
-0.4099622, 1.379, 7.884816 ,1,1
-0.4099622, 1.379, 8.403815 ,1,1
-0.4099622, 1.379, 8.980816 ,1,1
-0.4099622, 1.379, 9.500815 ,1,1
-0.4099622, 1.379, 10.19082 ,1,1
-0.4099622, 1.379, 10.95082 ,1,1
-0.4099622, 1.379, 11.85082 ,1,1
0.1000378, 1.379, 12.13082 ,1,1
0.8800378, 1.379, 12.29082 ,1,1
1.800038, 1.379, 12.29082 ,1,1
2.460038, 1.379, 11.91082 ,1,1
2.980038, 1.379, 11.58082 ,1,1
3.500038, 1.379, 11.18082 ,1,1
4.180038, 1.379, 10.59082 ,1,1
4.770038, 1.379, 9.980816 ,1,1
5.360038, 1.379, 9.420815 ,1,1
5.880038, 1.379, 8.710815 ,1,1
6.280038, 1.379, 7.840816 ,1,1
